epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.198,3.16836,3.75888,4.20802,0.00264,0.60732,0.0379,0.00879,2.59737,3.95092,4.15733,0.00015003,0.00015003,0.00015003
2,661.107,3.04258,3.67762,4.15542,0.00258,0.59848,0.15532,0.03769,2.59927,3.94219,4.14467,0.000312251,0.000312251,0.000312251
3,985.892,3.12451,3.6565,4.10604,0.00233,0.55745,0.01798,0.00496,2.59974,3.93345,4.12225,0.000469756,0.000469756,0.000469756
4,1310.3,3.0803,3.4935,4.02973,0.00246,0.56755,0.08324,0.01647,2.60596,3.91839,4.06343,0.000622546,0.000622546,0.000622546
5,1630.5,2.97026,3.43397,3.92219,0.0021,0.50505,0.04703,0.00906,2.7645,3.91902,3.93263,0.000770621,0.000770621,0.000770621
6,1940.24,2.83568,3.3595,3.79774,0.00588,0.4412,0.05128,0.0109,2.70683,4.27573,3.7643,0.00091398,0.00091398,0.00091398
7,2251.55,2.81568,3.34324,3.69626,0.508,0.3447,0.03571,0.00794,2.65151,4.90054,3.71014,0.00105262,0.00105262,0.00105262
8,2565.91,2.70118,3.26382,3.55422,0.51111,0.33586,0.03066,0.00739,2.71559,8.37071,3.90942,0.00118655,0.00118655,0.00118655
9,2883.41,2.62211,3.27484,3.48168,0.51339,0.34722,0.02425,0.00608,2.66777,10.3228,3.96714,0.00131577,0.00131577,0.00131577
10,3196.46,2.63693,3.30785,3.47551,0.52048,0.12437,0.01279,0.00297,2.9682,8.92377,4.01297,0.00144027,0.00144027,0.00144027
11,3510.09,2.57148,3.31328,3.3381,0.52121,0.26894,0.02747,0.00544,2.90128,8.16494,3.85017,0.00143124,0.00143124,0.00143124
12,3825.88,2.5545,3.14766,3.28671,0.51577,0.28914,0.0354,0.00889,2.78557,5.54637,3.66423,0.00140766,0.00140766,0.00140766
13,4136.9,2.53153,3.18581,3.23663,0.53237,0.02967,0.01781,0.00434,2.93584,4.45825,3.8921,0.00138409,0.00138409,0.00138409
14,4462.71,2.57043,3.23489,3.24127,0.56926,0.07765,0.03256,0.00815,2.9568,4.66555,3.77869,0.00136051,0.00136051,0.00136051
15,4780.64,2.51176,3.16772,3.10393,0.58912,0.08775,0.04632,0.01379,2.7719,4.67483,3.64737,0.00133693,0.00133693,0.00133693
16,5090.65,2.5211,3.05061,3.07048,0.51991,0.09091,0.0131,0.00349,2.65668,5.92982,3.60137,0.00131336,0.00131336,0.00131336
17,5415.29,2.30804,3.03125,2.99746,0.51711,0.11427,0.01064,0.00282,2.60098,4.90842,3.55196,0.00128978,0.00128978,0.00128978
18,5726.99,2.41766,3.08399,3.08723,0.53075,0.09028,0.01684,0.00427,2.56467,4.4469,3.54375,0.00126621,0.00126621,0.00126621
19,6049.03,2.41253,3.13147,3.10678,0.5192,0.13321,0.01339,0.00378,2.4764,4.89822,3.54976,0.00124263,0.00124263,0.00124263
20,6360.8,2.37152,3.02058,3.04585,0.66541,0.10732,0.0832,0.02416,2.38786,5.12896,3.37029,0.00121905,0.00121905,0.00121905
21,6678.18,2.3266,3.00748,2.96726,0.59218,0.10354,0.05942,0.01397,2.51935,4.75281,3.33646,0.00119548,0.00119548,0.00119548
22,6992,2.26968,3.00404,2.97158,0.52179,0.0726,0.01178,0.00307,2.70753,4.75002,3.50406,0.0011719,0.0011719,0.0011719
23,7307.94,2.30368,2.95285,2.93405,0.52482,0.06236,0.01062,0.00249,2.72918,4.61356,3.51099,0.00114832,0.00114832,0.00114832
24,7616.19,2.30437,2.90584,2.8812,0.53152,0.03472,0.01327,0.00372,2.64262,4.81658,3.76526,0.00112475,0.00112475,0.00112475
25,7931.38,2.21987,2.8843,2.82677,0.53946,0.06692,0.01684,0.0039,2.79096,5.03102,3.52848,0.00110117,0.00110117,0.00110117
26,8242.51,2.22191,2.74979,2.83392,0.52425,0.06944,0.01086,0.00251,2.92186,6.81456,3.67447,0.0010776,0.0010776,0.0010776
27,8555.53,2.24664,2.79358,2.84666,0.51984,0.05871,0.00964,0.0023,2.87889,7.30763,3.61429,0.00105402,0.00105402,0.00105402
28,8863.59,2.13174,2.80567,2.79474,0.53629,0.15972,0.02436,0.00626,2.57016,6.9703,3.32275,0.00103044,0.00103044,0.00103044
29,9183.15,2.15791,2.71232,2.76161,0.6359,0.16919,0.08753,0.02245,2.35258,6.26509,3.15538,0.00100687,0.00100687,0.00100687
30,9495.61,2.14957,2.74237,2.73037,0.58258,0.17487,0.05219,0.01422,2.30133,4.95872,3.16414,0.000983292,0.000983292,0.000983292
31,9801.01,2.07248,2.67523,2.7043,0.56446,0.1875,0.04139,0.01235,2.29527,4.25591,3.17756,0.000959716,0.000959716,0.000959716
32,10107.4,2.09787,2.68327,2.72183,0.54019,0.14141,0.02537,0.00689,2.54631,5.30007,3.33041,0.00093614,0.00093614,0.00093614
33,10428.7,2.10428,2.67243,2.7098,0.58719,0.14773,0.05449,0.01377,2.50114,4.45201,3.27113,0.000912563,0.000912563,0.000912563
34,10736.7,2.10173,2.671,2.72004,0.65524,0.17235,0.09991,0.03085,2.24569,3.40705,3.08879,0.000888987,0.000888987,0.000888987
35,11041.4,1.97884,2.57002,2.62253,0.69464,0.16667,0.11797,0.03421,2.30525,3.24398,3.13258,0.000865411,0.000865411,0.000865411
36,11345.8,2.04181,2.54792,2.61385,0.72456,0.17449,0.13458,0.04749,2.1617,3.05157,3.06441,0.000841835,0.000841835,0.000841835
37,11654.1,2.05519,2.56372,2.66909,0.66052,0.17803,0.10452,0.03346,2.15262,3.07278,3.09704,0.000818259,0.000818259,0.000818259
38,11957.8,2.00439,2.51888,2.60961,0.70845,0.17648,0.13047,0.04607,2.13664,3.10709,3.10786,0.000794683,0.000794683,0.000794683
39,12263.1,1.94264,2.51369,2.58494,0.74631,0.17172,0.14419,0.05225,2.13398,3.17132,3.09514,0.000771107,0.000771107,0.000771107
40,12573.5,1.98419,2.54465,2.5709,0.76341,0.17677,0.14871,0.0532,2.18359,3.10315,3.1321,0.00074753,0.00074753,0.00074753
41,12892,1.99623,2.42973,2.57613,0.66095,0.15341,0.09188,0.02914,2.20364,3.26156,3.14727,0.000723954,0.000723954,0.000723954
42,13195,1.99595,2.51909,2.5806,0.63496,0.06745,0.05915,0.01863,2.25597,3.39563,3.29281,0.000700378,0.000700378,0.000700378
43,13501.5,1.99893,2.46894,2.60781,0.61315,0.06566,0.06216,0.02174,2.28096,3.36941,3.34313,0.000676802,0.000676802,0.000676802
44,13810.1,1.9648,2.42096,2.54104,0.73462,0.16414,0.12895,0.04605,2.29237,3.40364,3.29521,0.000653226,0.000653226,0.000653226
45,14116.1,1.96699,2.41602,2.52081,0.73902,0.16856,0.13751,0.04674,2.2788,3.54263,3.19031,0.00062965,0.00062965,0.00062965
46,14424.4,1.93786,2.40809,2.49858,0.74852,0.18371,0.15394,0.0476,2.27388,3.49871,3.09738,0.000606074,0.000606074,0.000606074
47,14756.8,1.87971,2.35943,2.51588,0.7256,0.17551,0.14558,0.04511,2.2887,3.3026,3.09381,0.000582497,0.000582497,0.000582497
48,15065.1,1.9009,2.51089,2.5188,0.74436,0.19003,0.16161,0.05417,2.15062,3.0661,3.03209,0.000558921,0.000558921,0.000558921
49,15379.1,1.95626,2.49532,2.49511,0.76112,0.19318,0.16107,0.05696,2.13775,3.07747,3.05385,0.000535345,0.000535345,0.000535345
50,15685.7,1.92823,2.41071,2.52693,0.77644,0.18657,0.16141,0.0568,2.15503,3.05694,3.02735,0.000511769,0.000511769,0.000511769
51,15998.3,1.8854,2.33628,2.46576,0.76932,0.18427,0.16291,0.05892,2.14448,3.05577,3.01329,0.000488193,0.000488193,0.000488193
52,16309.6,1.8681,2.40575,2.51577,0.77091,0.17298,0.16306,0.05825,2.15033,3.02793,3.03493,0.000464617,0.000464617,0.000464617
53,16616.4,1.81988,2.35517,2.45671,0.78149,0.18561,0.17045,0.06102,2.13793,2.90537,3.03359,0.000441041,0.000441041,0.000441041
54,16916.9,1.84842,2.32423,2.47368,0.77366,0.17361,0.16256,0.05806,2.1647,2.85197,3.06692,0.000417464,0.000417464,0.000417464
55,17225.1,1.85127,2.34559,2.48619,0.78299,0.18276,0.16617,0.05917,2.16117,2.83599,3.02851,0.000393888,0.000393888,0.000393888
56,17538.1,1.82378,2.34109,2.4386,0.76585,0.19129,0.16552,0.06065,2.12739,2.88929,2.98522,0.000370312,0.000370312,0.000370312
57,17840.2,1.76833,2.21993,2.38799,0.76969,0.18245,0.15595,0.05647,2.10501,2.90695,2.98844,0.000346736,0.000346736,0.000346736
58,18147.1,1.80288,2.27526,2.39566,0.74907,0.18939,0.15305,0.05598,2.04999,2.87256,2.96654,0.00032316,0.00032316,0.00032316
59,18455.9,1.76376,2.25184,2.38455,0.74193,0.18434,0.15209,0.05649,2.04554,2.86365,2.9762,0.000299584,0.000299584,0.000299584
60,18762.8,1.87107,2.26595,2.44984,0.74069,0.1711,0.15586,0.06014,2.05519,2.83521,2.98796,0.000276008,0.000276008,0.000276008
61,19070.7,1.89482,2.61719,2.62056,0.7697,0.17929,0.17025,0.06808,2.0486,2.8097,2.9908,0.000252431,0.000252431,0.000252431
62,19377.7,1.90045,2.46628,2.64429,0.79552,0.18704,0.17144,0.06931,2.06019,2.8141,3.00349,0.000228855,0.000228855,0.000228855
63,19694.6,1.74933,2.33553,2.55999,0.79229,0.18923,0.16947,0.06757,2.07179,2.87389,3.01385,0.000205279,0.000205279,0.000205279
64,19998.4,1.71023,2.33815,2.52813,0.79258,0.19003,0.17566,0.07093,2.05161,2.88051,2.96377,0.000181703,0.000181703,0.000181703
65,20309,1.765,2.27999,2.56104,0.79038,0.19255,0.18376,0.07432,2.02255,2.82314,2.9097,0.000158127,0.000158127,0.000158127
66,20623.2,1.68494,2.21448,2.5004,0.80685,0.19823,0.20824,0.08462,1.9851,2.76008,2.82329,0.000134551,0.000134551,0.000134551
67,20929.5,1.76103,2.21283,2.55152,0.80937,0.20518,0.2128,0.08684,1.97653,2.73224,2.7969,0.000110975,0.000110975,0.000110975
68,21232.5,1.78247,2.07368,2.54801,0.80413,0.21907,0.21776,0.08865,1.95924,2.73196,2.77423,8.73984e-05,8.73984e-05,8.73984e-05
69,21539.9,1.72093,2.21442,2.4773,0.79473,0.21843,0.21803,0.08869,1.95125,2.73218,2.77123,6.38223e-05,6.38223e-05,6.38223e-05
70,21844.3,1.68366,2.11696,2.45127,0.78778,0.22001,0.21374,0.08758,1.94651,2.72086,2.77161,4.02461e-05,4.02461e-05,4.02461e-05
